Type,Gender,Discipline,Classification,Threshold
outdoor,f,300m,"III j.",56
outdoor,f,400m,LM,52
outdoor,f,400m,SM,54.14
outdoor,f,400m,SMK,57.14
outdoor,f,400m,I,59.64
outdoor,f,400m,II,64.14
outdoor,f,400m,III,70.14
outdoor,f,400m,"I j.",75
outdoor,f,400m,"II j.",80
outdoor,f,400m,"III j.",82
outdoor,f,600m,SMK,92
outdoor,f,600m,I,97
outdoor,f,600m,II,104.5
outdoor,f,600m,III,115
outdoor,f,600m,"I j.",130
outdoor,f,600m,"II j.",140
outdoor,f,600m,"III j.",145
outdoor,f,800m,LM,122.14
outdoor,f,800m,SM,127.64
outdoor,f,800m,SMK,132.14
outdoor,f,800m,I,142.14
outdoor,f,800m,II,155.14
outdoor,f,800m,III,175.14
outdoor,f,800m,"I j.",185
outdoor,f,800m,"II j.",198
outdoor,f,800m,"III j.",215
outdoor,f,1000m,LM,156.5
outdoor,f,1000m,SM,164
outdoor,f,1000m,SMK,174
outdoor,f,1000m,I,185
outdoor,f,1000m,II,200
outdoor,f,1000m,III,220
outdoor,f,1000m,"I j.",235
outdoor,f,1000m,"II j.",250
outdoor,f,1000m,"III j.",275
outdoor,f,1500m,LM,250
outdoor,f,1500m,SM,260
outdoor,f,1500m,SMK,275
outdoor,f,1500m,I,288
outdoor,f,1500m,II,310
outdoor,f,1500m,III,342
outdoor,f,1500m,"I j.",363
outdoor,f,1500m,"II j.",390
outdoor,f,1500m,"III j.",405
outdoor,f,3000m,LM,535
outdoor,f,3000m,SM,560
outdoor,f,3000m,SMK,585
outdoor,f,3000m,I,625
outdoor,f,3000m,II,680
outdoor,f,3000m,III,750
outdoor,f,3000m,"I j.",795
outdoor,f,3000m,"II j.",870
outdoor,f,5000m,LM,930
outdoor,f,5000m,SM,970
outdoor,f,5000m,SMK,1030
outdoor,f,5000m,I,1095
outdoor,f,5000m,II,1175
outdoor,f,5000m,III,1290
outdoor,f,10000m,LM,1960
outdoor,f,10000m,SM,2040
outdoor,f,10000m,SMK,2160
outdoor,f,10000m,I,2280
outdoor,f,10000m,II,2490
outdoor,f,10000m,III,2700
outdoor,f,4x100m,LM,43.35
outdoor,f,4x100m,SM,45.24
outdoor,f,4x100m,SMK,48.24
outdoor,f,4x100m,I,51.04
outdoor,f,4x100m,II,54.24
outdoor,f,4x100m,III,58.74
outdoor,f,4x100m,"I j.",61
outdoor,f,4x100m,"II j.",64
outdoor,f,4x100m,"III j.",68
outdoor,f,4x400m,LM,206.14
outdoor,f,4x400m,SM,218.14
outdoor,f,4x400m,SMK,227.14
outdoor,f,4x400m,I,240.14
outdoor,f,4x400m,II,256.14
outdoor,f,4x400m,III,280.14
outdoor,f,4x400m,"I j.",292
outdoor,f,4x400m,"II j.",305
outdoor,f,4x400m,"III j.",320
outdoor,f,400m+300m+200m+100m,I,135
outdoor,f,400m+300m+200m+100m,II,142
outdoor,f,400m+300m+200m+100m,III,150
outdoor,f,400m+300m+200m+100m,"I j.",160
outdoor,f,400m+300m+200m+100m,"II j.",170
outdoor,f,400m+300m+200m+100m,"III j.",190
outdoor,f,60mh_83.8,LM,8.1
outdoor,f,60mh_83.8,SM,8.54
outdoor,f,60mh_83.8,SMK,8.94
outdoor,f,60mh_83.8,I,9.54
outdoor,f,60mh_83.8,II,10.34
outdoor,f,60mh_83.8,III,11.34
outdoor,f,60mh_76.2,SMK,9.04
outdoor,f,60mh_76.2,I,9.34
outdoor,f,60mh_76.2,II,9.74
outdoor,f,60mh_76.2,III,10.64
outdoor,f,60mh_76.2,"I j.",11.2
outdoor,f,60mh_76.2,"II j.",12.5
outdoor,f,60mh_76.2,"III j.",13
outdoor,f,100mh_83.8,LM,13.2
outdoor,f,100mh_83.8,SM,14
outdoor,f,100mh_83.8,SMK,15.04
outdoor,f,100mh_83.8,I,16.14
outdoor,f,100mh_83.8,II,17.64
outdoor,f,100mh_83.8,III,19.54
outdoor,f,100mh_76.2,SMK,14.64
outdoor,f,100mh_76.2,I,15.24
outdoor,f,100mh_76.2,II,16.24
outdoor,f,100mh_76.2,III,18.24
outdoor,f,100mh_76.2,"I j.",20
outdoor,f,100mh_76.2,"II j.",22
outdoor,f,100mh_76.2,"III j.",23.5
outdoor,f,300mh,I,46.64
outdoor,f,300mh,II,50.14
outdoor,f,300mh,III,55.14
outdoor,f,300mh,"I j.",59
outdoor,f,300mh,"II j.",65
outdoor,f,400mh,LM,56.3
outdoor,f,400mh,SM,60.14
outdoor,f,400mh,SMK,63.64
outdoor,f,400mh,I,67.64
outdoor,f,400mh,II,73.14
outdoor,f,400mh,III,80.14
outdoor,f,400mh,"I j.",85
outdoor,f,400mh,"II j.",100
outdoor,f,300mh_76.2,I,46.64
outdoor,f,300mh_76.2,II,50.14
outdoor,f,300mh_76.2,III,55.14
outdoor,f,300mh_76.2,"I j.",59
outdoor,f,300mh_76.2,"II j.",65
outdoor,f,400mh_76.2,LM,56.3
outdoor,f,400mh_76.2,SM,60.14
outdoor,f,400mh_76.2,SMK,63.64
outdoor,f,400mh_76.2,I,67.64
outdoor,f,400mh_76.2,II,73.14
outdoor,f,400mh_76.2,III,80.14
outdoor,f,400mh_76.2,"I j.",85
outdoor,f,400mh_76.2,"II j.",100
outdoor,f,1500mSt,SMK,290
outdoor,f,1500mSt,I,315
outdoor,f,1500mSt,II,332
outdoor,f,1500mSt,III,355
outdoor,f,1500mSt,"I j.",380
outdoor,f,1500mSt,"II j.",397
outdoor,f,1500mSt,"III j.",417
outdoor,f,2000mSt,SM,400
outdoor,f,2000mSt,SMK,420
outdoor,f,2000mSt,I,435
outdoor,f,2000mSt,II,456
outdoor,f,2000mSt,III,480
outdoor,f,2000mSt,"I j.",510
outdoor,f,3000mSt,LM,600
outdoor,f,3000mSt,SM,630
outdoor,f,3000mSt,SMK,660
outdoor,f,3000mSt,I,690
outdoor,f,3000mSt,II,730
outdoor,f,3000mSt,III,800
outdoor,f,1500mSt_76.2,SMK,290
outdoor,f,1500mSt_76.2,I,315
outdoor,f,1500mSt_76.2,II,332
outdoor,f,1500mSt_76.2,III,355
outdoor,f,1500mSt_76.2,"I j.",380
outdoor,f,1500mSt_76.2,"II j.",397
outdoor,f,1500mSt_76.2,"III j.",417
outdoor,f,2000mSt_76.2,SM,400
outdoor,f,2000mSt_76.2,SMK,420
outdoor,f,2000mSt_76.2,I,435
outdoor,f,2000mSt_76.2,II,456
outdoor,f,2000mSt_76.2,III,480
outdoor,f,2000mSt_76.2,"I j.",510
outdoor,f,3000mSt_76.2,LM,600
outdoor,f,3000mSt_76.2,SM,630
outdoor,f,3000mSt_76.2,SMK,660
outdoor,f,3000mSt_76.2,I,690
outdoor,f,3000mSt_76.2,II,730
outdoor,f,3000mSt_76.2,III,800
outdoor,f,10000mW,LM,2730
outdoor,f,10000mW,SM,2910
outdoor,f,10000mW,SMK,3120
outdoor,f,10000mW,I,3300
outdoor,f,10000mW,II,3540
outdoor,f,10000mW,III,3900
outdoor,f,10000mW,"I j.",4080
outdoor,f,10000mW,"II j.",4320
outdoor,f,20000mW,LM,5700
outdoor,f,20000mW,SM,6120
outdoor,f,20000mW,SMK,6420
outdoor,f,20000mW,I,6900
outdoor,f,20000mW,II,7500
outdoor,f,20000mW,III,36000
indoor,m,30m,III,4.54
indoor,m,30m,"I j.",4.5
indoor,m,30m,"II j.",4.7
indoor,m,30m,"III j.",5
indoor,m,60m,LM,6.7
indoor,m,60m,SM,6.84
indoor,m,60m,SMK,7.04
indoor,m,60m,I,7.24
indoor,m,60m,II,7.44
indoor,m,60m,III,7.84
indoor,m,60m,"I j.",7.9
indoor,m,60m,"II j.",8.5
indoor,m,60m,"III j.",8.9
indoor,m,200m,LM,21.1
indoor,m,200m,SM,21.84
indoor,m,200m,SMK,22.74
indoor,m,200m,I,23.64
indoor,m,200m,II,24.84
indoor,m,200m,III,26.54
indoor,m,200m,"I j.",27.3
indoor,m,200m,"II j.",28.6
indoor,m,200m,"III j.",30
indoor,m,300m,SMK,34.74
indoor,m,300m,I,36.24
indoor,m,300m,II,38.24
indoor,m,300m,III,40.84
indoor,m,300m,"I j.",44
indoor,m,300m,"II j.",46.5
indoor,m,300m,"III j.",49
indoor,m,400m,LM,46.8
indoor,m,400m,SM,47.94
indoor,m,400m,SMK,49.94
indoor,m,400m,I,52.64
indoor,m,400m,II,55.14
indoor,m,400m,III,58.94
indoor,m,400m,"I j.",61
indoor,m,400m,"II j.",64
indoor,m,400m,"III j.",67
indoor,m,600m,SMK,82.64
indoor,m,600m,I,86.64
indoor,m,600m,II,91.14
indoor,m,600m,III,97.64
indoor,m,600m,"I j.",101.5
indoor,m,600m,"II j.",106.5
indoor,m,600m,"III j.",115
indoor,m,800m,LM,108.5
indoor,m,800m,SM,111.14
indoor,m,800m,SMK,116.64
indoor,m,800m,I,122.14
indoor,m,800m,II,131.14
indoor,m,800m,III,142.14
indoor,m,800m,"I j.",150
indoor,m,800m,"II j.",170
indoor,m,800m,"III j.",190
indoor,m,1000m,LM,120
indoor,m,1000m,SM,144
indoor,m,1000m,SMK,150
indoor,m,1000m,I,157
indoor,m,1000m,II,169
indoor,m,1000m,III,182
indoor,m,1000m,"I j.",192
indoor,m,1000m,"II j.",207
indoor,m,1000m,"III j.",224
indoor,m,1500m,LM,220
indoor,m,1500m,SM,228
indoor,m,1500m,SMK,237
indoor,m,1500m,I,250
indoor,m,1500m,II,267
indoor,m,1500m,III,292
indoor,m,1500m,"I j.",307
indoor,m,1500m,"II j.",340
indoor,m,1500m,"III j.",357
indoor,m,3000m,LM,475
indoor,m,3000m,SM,488
indoor,m,3000m,SMK,509
indoor,m,3000m,I,538
indoor,m,3000m,II,573
indoor,m,3000m,III,623
indoor,m,3000m,"I j.",653
indoor,m,3000m,"II j.",693
indoor,m,4x200m,SMK,89
indoor,m,4x200m,I,92
indoor,m,4x200m,II,98
indoor,m,4x200m,III,105.5
indoor,m,4x200m,"I j.",108
indoor,m,4x200m,"II j.",113
indoor,m,4x200m,"III j.",120
indoor,m,4x400m,LM,186
indoor,m,4x400m,SM,192
indoor,m,4x400m,SMK,200
indoor,m,4x400m,I,208
indoor,m,4x400m,II,220
indoor,m,4x400m,III,236
indoor,m,4x400m,"I j.",244
indoor,m,4x400m,"II j.",256
indoor,m,4x400m,"III j.",268
indoor,m,60mh_106.7,LM,7.75
indoor,m,60mh_106.7,SM,8.1
indoor,m,60mh_106.7,SMK,8.44
indoor,m,60mh_106.7,I,8.94
indoor,m,60mh_106.7,II,9.44
indoor,m,60mh_106.7,III,10.14
indoor,m,60mh_99.1,SMK,8.34
indoor,m,60mh_99.1,I,8.74
indoor,m,60mh_99.1,II,9.24
indoor,m,60mh_99.1,III,9.94
indoor,m,60mh_91.4,SMK,8.24
indoor,m,60mh_91.4,I,8.44
indoor,m,60mh_91.4,II,8.94
indoor,m,60mh_91.4,III,9.74
indoor,m,60mh_91.4,"I j.",10.2
indoor,m,60mh_91.4,"II j.",10.8
indoor,m,60mh_83.8,I,18.64
indoor,m,60mh_83.8,II,8.94
indoor,m,60mh_83.8,III,9.84
indoor,m,60mh_83.8,"I j.",10.3
indoor,m,60mh_83.8,"II j.",11
indoor,m,60mh_83.8,"III j.",12
indoor,m,1500mSt,I,270
indoor,m,1500mSt,II,288
indoor,m,1500mSt,III,314
indoor,m,1500mSt,"I j.",330
indoor,m,1500mSt,"II j.",350
indoor,m,1500mSt,"III j.",385
indoor,m,2000mSt,SM,335
indoor,m,2000mSt,SMK,350
indoor,m,2000mSt,I,370
indoor,m,2000mSt,II,395
indoor,m,2000mSt,III,435
indoor,m,2000mSt,"I j.",450
indoor,m,3000mSt,SM,518
indoor,m,3000mSt,SMK,547
indoor,m,3000mSt,I,575
indoor,m,3000mSt,II,615
indoor,m,3000mSt,III,670
indoor,m,1500mSt_76.2,I,270
indoor,m,1500mSt_76.2,II,288
indoor,m,1500mSt_76.2,III,314
indoor,m,1500mSt_76.2,"I j.",330
indoor,m,1500mSt_76.2,"II j.",350
indoor,m,1500mSt_76.2,"III j.",385
indoor,m,2000mSt_76.2,SM,335
indoor,m,2000mSt_76.2,SMK,350
indoor,m,2000mSt_76.2,I,370
indoor,m,2000mSt_76.2,II,395
indoor,m,2000mSt_76.2,III,435
indoor,m,2000mSt_76.2,"I j.",450
indoor,m,3000mSt_76.2,SM,518
indoor,m,3000mSt_76.2,SMK,547
indoor,m,3000mSt_76.2,I,575
indoor,m,3000mSt_76.2,II,615
indoor,m,3000mSt_76.2,III,670
indoor,f,30m,III,5.14
indoor,f,30m,"I j.",5
indoor,f,30m,"II j.",5.2
indoor,f,30m,"III j.",5.5
indoor,f,60m,LM,7.25
indoor,f,60m,SM,7.5
indoor,f,60m,SMK,7.74
indoor,f,60m,I,8.04
indoor,f,60m,II,8.44
indoor,f,60m,III,9.04
indoor,f,60m,"I j.",9.1
indoor,f,60m,"II j.",9.4
indoor,f,60m,"III j.",9.8
indoor,f,200m,LM,23.5
indoor,f,200m,SM,24.54
indoor,f,200m,SMK,26.04
indoor,f,200m,I,27.44
indoor,f,200m,II,29.24
indoor,f,200m,III,31.74
indoor,f,200m,"I j.",33
indoor,f,200m,"II j.",34.5
indoor,f,200m,"III j.",36.5
indoor,f,300m,SMK,39.74
indoor,f,300m,I,42.24
indoor,f,300m,II,45.24
indoor,f,300m,III,49.24
indoor,f,300m,"I j.",52
indoor,f,300m,"II j.",54
indoor,f,300m,"III j.",57
indoor,f,400m,LM,53
indoor,f,400m,SM,55.14
indoor,f,400m,SMK,57.64
indoor,f,400m,I,61.14
indoor,f,400m,II,65.14
indoor,f,400m,III,71.14
indoor,f,400m,"I j.",74
indoor,f,400m,"II j.",78
indoor,f,400m,"III j.",83
indoor,f,600m,SMK,95.64
indoor,f,600m,I,100.64
indoor,f,600m,II,108.14
indoor,f,600m,III,117.14
indoor,f,600m,"I j.",123
indoor,f,600m,"II j.",129
indoor,f,600m,"III j.",138
indoor,f,800m,LM,124
indoor,f,800m,SM,129
indoor,f,800m,SMK,134.64
indoor,f,800m,I,143.64
indoor,f,800m,II,156.64
indoor,f,800m,III,176.64
indoor,f,800m,"I j.",186.5
indoor,f,800m,"II j.",199.5
indoor,f,800m,"III j.",216.5
indoor,f,1000m,LM,158
indoor,f,1000m,SM,166
indoor,f,1000m,SMK,177
indoor,f,1000m,I,187
indoor,f,1000m,II,202
indoor,f,1000m,III,222
indoor,f,1000m,"I j.",237
indoor,f,1000m,"II j.",252
indoor,f,1000m,"III j.",277
indoor,f,1500m,LM,252
indoor,f,1500m,SM,261.5
indoor,f,1500m,SMK,277
indoor,f,1500m,I,292
indoor,f,1500m,II,317
indoor,f,1500m,III,347
indoor,f,1500m,"I j.",367
indoor,f,1500m,"II j.",392
indoor,f,1500m,"III j.",432
indoor,f,3000m,LM,540
indoor,f,3000m,SM,565
indoor,f,3000m,SMK,591
indoor,f,3000m,I,633
indoor,f,3000m,II,688
indoor,f,3000m,III,753
indoor,f,3000m,"I j.",798
indoor,f,3000m,"II j.",873
indoor,f,4x200m,SM,96
indoor,f,4x200m,SMK,102
indoor,f,4x200m,I,107
indoor,f,4x200m,II,115
indoor,f,4x200m,III,125
indoor,f,4x200m,"I j.",131
indoor,f,4x200m,"II j.",137
indoor,f,4x200m,"III j.",145
indoor,f,4x400m,LM,200
indoor,f,4x400m,SM,220
indoor,f,4x400m,SMK,230
indoor,f,4x400m,I,244
indoor,f,4x400m,II,260
indoor,f,4x400m,III,284
indoor,f,4x400m,"I j.",296
indoor,f,4x400m,"II j.",312
indoor,f,60mh_83.8,LM,8.1
indoor,f,60mh_83.8,SM,8.54
indoor,f,60mh_83.8,SMK,8.94
indoor,f,60mh_83.8,I,9.54
indoor,f,60mh_83.8,II,10.34
indoor,f,60mh_83.8,III,11.34
indoor,f,60mh_76.2,SMK,9.04
indoor,f,60mh_76.2,I,9.34
indoor,f,60mh_76.2,II,9.74
indoor,f,60mh_76.2,III,10.64
indoor,f,60mh_76.2,"I j.",11.2
indoor,f,60mh_76.2,"II j.",12.5
indoor,f,60mh_76.2,"III j.",13
indoor,f,1500mSt,I,313
indoor,f,1500mSt,II,331
indoor,f,1500mSt,III,347
indoor,f,1500mSt,"I j.",370
indoor,f,1500mSt,"II j.",390
indoor,f,2000mSt,SM,378
indoor,f,2000mSt,SMK,400
indoor,f,2000mSt,I,420
indoor,f,2000mSt,II,440
indoor,f,2000mSt,III,455
indoor,f,2000mSt,"I j.",470
indoor,f,2000mSt,"II j.",500
indoor,f,3000mSt,SM,610
indoor,f,3000mSt,SMK,640
indoor,f,3000mSt,I,680
indoor,f,3000mSt,II,735
indoor,f,3000mSt,III,790
indoor,f,1500mSt_76.2,I,313
indoor,f,1500mSt_76.2,II,331
indoor,f,1500mSt_76.2,III,347
indoor,f,1500mSt_76.2,"I j.",370
indoor,f,1500mSt_76.2,"II j.",390
indoor,f,2000mSt_76.2,SM,378
indoor,f,2000mSt_76.2,SMK,400
indoor,f,2000mSt_76.2,I,420
indoor,f,2000mSt_76.2,II,440
indoor,f,2000mSt_76.2,III,455
indoor,f,2000mSt_76.2,"I j.",470
indoor,f,2000mSt_76.2,"II j.",500
indoor,f,3000mSt_76.2,SM,610
indoor,f,3000mSt_76.2,SMK,640
indoor,f,3000mSt_76.2,I,680
indoor,f,3000mSt_76.2,II,735
indoor,f,3000mSt_76.2,III,790
road,m,5km,SMK,900
road,m,5km,I,930
road,m,5km,II,975
road,m,5km,III,1050
road,m,5km,"I j.",1110
road,m,5km,"II j.",1170
road,m,10km,LM,1700
road,m,10km,SM,1770
road,m,10km,SMK,1860
road,m,10km,I,1950
road,m,10km,II,2040
road,m,10km,III,2220
road,m,15km,SMK,2820
road,m,15km,I,2940
road,m,15km,II,3090
road,m,15km,III,3360
road,m,half_marathon,LM,3750
road,m,half_marathon,SM,3930
road,m,half_marathon,SMK,4080
road,m,half_marathon,I,4320
road,m,half_marathon,II,4560
road,m,half_marathon,III,4980
road,m,marathon,LM,8040
road,m,marathon,SM,8520
road,m,marathon,SMK,8880
road,m,marathon,I,9420
road,m,marathon,II,10800
road,m,marathon,III,13200
road,m,50km,LM,11100
road,m,50km,SM,11700
road,m,50km,SMK,12600
road,m,50km,I,13800
road,m,50km,II,15000
road,m,50km,III,16200
road,m,100km,LM,25200
road,m,100km,SM,27000
road,m,100km,SMK,28800
road,m,100km,I,32400
road,m,100km,II,36000
road,m,100km,III,43200
road,m,24h,LM,250
road,m,24h,SM,240
road,m,24h,SMK,220
road,m,24h,I,200
road,m,24h,II,180
road,m,24h,III,160
road,m,1kmW,I,245
road,m,1kmW,II,275
road,m,1kmW,III,285
road,m,1kmW,"I j.",300
road,m,1kmW,"II j.",315
road,m,1kmW,"III j.",340
road,m,2kmW,I,510
road,m,2kmW,II,560
road,m,2kmW,III,600
road,m,2kmW,"I j.",650
road,m,2kmW,"II j.",710
road,m,2kmW,"III j.",750
road,m,3kmW,LM,690
road,m,3kmW,SM,735
road,m,3kmW,SMK,765
road,m,3kmW,I,810
road,m,3kmW,II,870
road,m,3kmW,III,960
road,m,3kmW,"I j.",1020
road,m,3kmW,"II j.",1080
road,m,3kmW,"III j.",1140
road,m,5kmW,LM,1200
road,m,5kmW,SM,1260
road,m,5kmW,SMK,1320
road,m,5kmW,I,1380
road,m,5kmW,II,1500
road,m,5kmW,III,1650
road,m,5kmW,"I j.",1800
road,m,5kmW,"II j.",1890
road,m,5kmW,"III j.",1980
road,m,10kmW,LM,2460
road,m,10kmW,SM,2580
road,m,10kmW,SMK,2730
road,m,10kmW,I,2850
road,m,10kmW,II,3150
road,m,10kmW,III,3450
road,m,10kmW,"I j.",3660
road,m,10kmW,"II j.",3900
road,m,20kmW,LM,5010
road,m,20kmW,SM,5460
road,m,20kmW,SMK,5820
road,m,20kmW,I,6240
road,m,20kmW,II,6720
road,m,20kmW,III,36000
road,m,30kmw,LM,7620
road,m,30kmw,SM,8400
road,m,30kmw,SMK,9000
road,m,30kmw,I,9900
road,m,30kmw,II,10800
road,m,30kmw,III,36000
road,m,50kmw,LM,14400
road,m,50kmw,SM,15600
road,m,50kmw,SMK,17100
road,m,50kmw,I,18900
road,m,50kmw,II,36000
road,f,5km,SMK,1035
road,f,5km,I,1095
road,f,5km,II,1170
road,f,5km,III,1260
road,f,5km,"I j.",1320
road,f,5km,"II j.",1410
road,f,10km,LM,1960
road,f,10km,SM,2040
road,f,10km,SMK,2160
road,f,10km,I,2280
road,f,10km,II,2430
road,f,10km,III,2640
road,f,15km,SMK,3300
road,f,15km,I,3480
road,f,15km,II,3780
road,f,15km,III,4140
road,f,half_marathon,LM,4410
road,f,half_marathon,SM,4620
road,f,half_marathon,SMK,4860
road,f,half_marathon,I,5160
road,f,half_marathon,II,5520
road,f,half_marathon,III,6000
road,f,marathon,LM,9300
road,f,marathon,SM,10080
road,f,marathon,SMK,10800
road,f,marathon,I,11520
road,f,marathon,II,12600
road,f,marathon,III,14400
road,f,50km,LM,13500
road,f,50km,SM,14400
road,f,50km,SMK,15300
road,f,50km,I,16200
road,f,50km,II,17100
road,f,50km,III,18000
road,f,100km,LM,30600
road,f,100km,SM,32400
road,f,100km,SMK,36000
road,f,100km,I,39600
road,f,100km,II,43200
road,f,100km,III,50400
road,f,24h,LM,220
road,f,24h,SM,200
road,f,24h,SMK,180
road,f,24h,I,160
road,f,24h,II,140
road,f,24h,III,120
road,f,1kmW,I,285
road,f,1kmW,II,300
road,f,1kmW,III,320
road,f,1kmW,"I j.",330
road,f,1kmW,"II j.",345
road,f,1kmW,"III j.",360
road,f,2kmW,SMK,560
road,f,2kmW,I,595
road,f,2kmW,II,630
road,f,2kmW,III,690
road,f,2kmW,"I j.",780
road,f,2kmW,"II j.",815
road,f,2kmW,"III j.",830
road,f,3kmW,LM,780
road,f,3kmW,SM,820
road,f,3kmW,SMK,880
road,f,3kmW,I,940
road,f,3kmW,II,1000
road,f,3kmW,III,1080
road,f,3kmW,"I j.",1130
road,f,3kmW,"II j.",1200
road,f,3kmW,"III j.",1320
road,f,5kmW,LM,1320
road,f,5kmW,SM,1410
road,f,5kmW,SMK,1500
road,f,5kmW,I,1590
road,f,5kmW,II,1710
road,f,5kmW,III,1860
road,f,5kmW,"I j.",1980
road,f,5kmW,"II j.",2090
road,f,5kmW,"III j.",2200
road,f,10kmW,LM,2730
road,f,10kmW,SM,2910
road,f,10kmW,SMK,3120
road,f,10kmW,I,3300
road,f,10kmW,II,3540
road,f,10kmW,III,3900
road,f,10kmW,"I j.",4080
road,f,10kmW,"II j.",4320
road,f,20kmW,LM,5700
road,f,20kmW,SM,6120
road,f,20kmW,SMK,6420
road,f,20kmW,I,6900
road,f,20kmW,II,7500
road,f,20kmW,III,36000
trail,m,0.8km,"I j.",150
trail,m,0.8km,"II j.",160
trail,m,0.8km,"III j.",170
trail,m,1km,II,165
trail,m,1km,III,180
trail,m,1km,"I j.",185
trail,m,1km,"II j.",190
trail,m,1km,"III j.",200
trail,m,1.5km,II,265
trail,m,1.5km,III,294
trail,m,1.5km,"I j.",320
trail,m,1.5km,"II j.",340
trail,m,2km,II,365
trail,m,2km,III,395
trail,m,2km,"I j.",405
trail,m,2km,"II j.",430
trail,m,2km,"III j.",445
trail,m,3km,SMK,508
trail,m,3km,I,530
trail,m,3km,II,570
trail,m,3km,III,610
trail,m,3km,"I j.",640
trail,m,3km,"II j.",680
trail,m,3km,"III j.",700
trail,m,5km,SMK,880
trail,m,5km,I,920
trail,m,5km,II,980
trail,m,5km,III,1050
trail,m,5km,"I j.",1100
trail,m,5km,"II j.",1140
trail,m,5km,"III j.",1200
trail,m,6km,SMK,1070
trail,m,6km,I,1125
trail,m,6km,II,1200
trail,m,6km,III,1320
trail,m,6km,"I j.",1500
trail,m,8km,SMK,1460
trail,m,8km,I,1520
trail,m,8km,II,1620
trail,m,8km,III,1740
trail,m,8km,"I j.",1800
trail,m,10km,SMK,1845
trail,m,10km,I,1935
trail,m,10km,II,2070
trail,m,10km,III,2280
trail,m,12km,SMK,2260
trail,m,12km,I,2355
trail,m,12km,II,2540
trail,m,12km,III,2790
trail,m,14km,SMK,2660
trail,m,14km,I,2790
trail,m,14km,II,3000
trail,m,14km,III,3300
trail,f,0.5km,SMK,76
trail,f,0.5km,I,81
trail,f,0.5km,II,87
trail,f,0.5km,III,95
trail,f,0.5km,"I j.",102
trail,f,0.5km,"II j.",110
trail,f,0.5km,"III j.",120
trail,f,1km,SMK,173
trail,f,1km,I,183
trail,f,1km,II,195
trail,f,1km,III,213
trail,f,1km,"I j.",220
trail,f,1km,"II j.",255
trail,f,1km,"III j.",270
trail,f,1.5km,SMK,277
trail,f,1.5km,I,292
trail,f,1.5km,II,315
trail,f,1.5km,III,350
trail,f,1.5km,"I j.",380
trail,f,1.5km,"II j.",410
trail,f,1.5km,"III j.",430
trail,f,2km,SMK,380
trail,f,2km,I,405
trail,f,2km,II,435
trail,f,2km,III,470
trail,f,2km,"I j.",492
trail,f,2km,"II j.",520
trail,f,3km,SMK,590
trail,f,3km,I,630
trail,f,3km,II,680
trail,f,3km,III,750
trail,f,3km,"I j.",765
trail,f,3km,"II j.",810
trail,f,4km,SMK,810
trail,f,4km,I,865
trail,f,4km,II,930
trail,f,4km,III,1010
trail,f,4km,"I j.",1040
trail,f,4km,"II j.",1100
trail,f,5km,SMK,1020
trail,f,5km,I,1090
trail,f,5km,II,1170
trail,f,5km,III,1310
trail,f,5km,"I j.",1410
trail,f,6km,SMK,1260
trail,f,6km,I,1340
trail,f,6km,II,1440
trail,f,6km,III,1620
